Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,APC currency
Economia Agro-Alimentare,1126-1668,1972-4802,250,EUR
Global Bioethics,1128-7462,1591-7398,1200,USD
The Journal of Headache and Pain,1129-2369,1129-2377,2190,GBP
Journal of Limnology,1129-5767,1723-8633,600,EUR
Drugs in R&D,1174-5886,1179-6901,2490,EUR
Applied Bionics and Biomechanics,1176-2322,1754-2103,1650,USD
Neuropsychiatric Disease and Treatment,1176-6328,1178-2021,2310,USD
Therapeutics and Clinical Risk Management,1176-6336,1178-203X,2310,USD
Vascular Health and Risk Management,1176-6344,1178-2048,1958,USD
Clinical Interventions in Aging,1176-9092,1178-1998,2310,USD
International Journal of COPD,1176-9106,1178-2005,2310,USD
International Journal of Nanomedicine,1176-9114,1178-2013,2310,USD
Evolutionary Bioinformatics,,1176-9343,2000,USD
Cancer Informatics,,1176-9351,1848,USD
Biomarker Insights,,1177-2719,1848,USD
Drug Target Insights,,1177-3928,1500,EUR
Clinical Ophthalmology,1177-5467,1177-5483,1958,USD
Biologics : Targets & Therapy,1177-5475,1177-5491,1958,USD
"Drug Design, Development and Therapy",,1177-8881,2310,USD
Patient Preference and Adherence,1177-889X,,2310,USD
"Nanotechnology, Science and Applications",1177-8903,,1958,USD
Bioinformatics and Biology Insights,,1177-9322,1848,USD
Clinical Medicine: Pediatrics,,1178-220X,1500,USD
Substance Abuse: Research and Treatment,,1178-2218,1500,USD
Breast Cancer: Basic and Clinical Research,,1178-2234,1500,USD
Palliative Care,,1178-2242,1500,USD
Journal of Multidisciplinary Healthcare,1178-2390,,1958,USD
International Journal on Smart Sensing and Intelligent Systems,,1178-5608,500,USD
"Air, Soil and Water Research",,1178-6221,1699,USD
Environmental Health Insights,,1178-6302,1500,USD
Health Services Insights,,1178-6329,1500,USD
Infectious Diseases,,1178-6337,1500,USD
Microbiology Insights,,1178-6361,1500,USD
Nutrition and Metabolic Insights,,1178-6388,1500,USD
International Journal of Tryptophan Research,,1178-6469,750,USD
OncoTargets and Therapy,,1178-6930,2310,USD
Advances and Applications in Bioinformatics and Chemistry,1178-6949,,1958,USD
Stem Cells and Cloning : Advances and Applications,,1178-6957,1958,USD
Journal of Asthma and Allergy,,1178-6965,1958,USD
Infection and Drug Resistance,,1178-6973,1958,USD
ClinicoEconomics and Outcomes Research,1178-6981,,1958,USD
"Diabetes, Metabolic Syndrome and Obesity : Targets and Therapy",,1178-7007,1958,USD
"Clinical, Cosmetic and Investigational Dermatology",,1178-7015,1958,USD
Clinical and Experimental Gastroenterology,1178-7023,,1958,USD
Journal of Inflammation Research,,1178-7031,1958,USD
The Application of Clinical Genetics,,1178-704X,1958,USD
International Journal of Nephrology and Renovascular Disease,,1178-7058,1958,USD
Pharmacogenomics and Personalized Medicine,,1178-7066,1958,USD
International Journal of General Medicine,1178-7074,,1958,USD
Open Access Surgery,,1178-7082,1780,USD
Journal of Pain Research,,1178-7090,1958,USD
Integrated Blood Pressure Control,,1178-7104,1958,USD
Local and Regional Anesthesia,,1178-7112,1958,USD
Journal of Experimental Neuroscience,,1179-0695,1500,USD
Breast Cancer : Targets and Therapy,,1179-1314,1958,USD
Cancer Management and Research,,1179-1322,1958,USD
Clinical Epidemiology,,1179-1349,2310,USD
"Clinical, Cosmetic and Investigational Dentistry",,1179-1357,1958,USD
"Drug, Healthcare and Patient Safety",,1179-1365,1958,USD
HIV/AIDS : Research and Palliative Care,1179-1373,,1958,USD
International Journal of Wine Research,,1179-1403,1780,USD
International Journal of Women's Health,,1179-1411,1958,USD
International Medical Case Reports Journal,1179-142X,,1958,USD
Clinical Pharmacology : Advances and Applications,1179-1438,,1958,USD
Orthopedic Research and Reviews,,1179-1462,1780,USD
Medical Devices : Evidence and Research,,1179-1470,1958,USD
Nutrition and Dietary Supplements,,1179-1489,1780,USD
Open Access Emergency Medicine,,1179-1500,1780,USD
Open Access Journal of Clinical Trials,,1179-1519,1780,USD
Open Access Journal of Contraception,,1179-1527,1780,USD
Hepatic Medicine : Evidence and Research,,1179-1535,1958,USD
Open Access Journal of Sports Medicine,,1179-1543,1958,USD
Open Access Rheumatology : Research and Reviews,,1179-156X,1780,USD
Psychology Research and Behavior Management,,1179-1578,1958,USD
Reports in Medical Imaging,,1179-1586,1780,USD
Risk Management and Healthcare Policy,,1179-1594,1958,USD
Nature and Science of Sleep,,1179-1608,1958,USD
Transplant Research and Risk Management,1179-1616,,1780,USD
Tobacco Use Insights,,1179-173X,1848,USD
Genetics and Epigenetics,,1179-237X,1500,USD
Pathology and Laboratory Medicine International,,1179-2698,1780,USD
Patient Related Outcome Measures,,1179-271X,1958,USD
Lung Cancer : Targets and Therapy,,1179-2728,1780,USD
Journal of Blood Medicine,,1179-2736,1958,USD
Eye and Brain,,1179-2744,1780,USD
Clinical Optometry,1179-2752,,1780,USD
"Adolescent Health, Medicine and Therapeutics",,1179-318X,1958,USD
Journal of Healthcare Leadership,,1179-3201,1780,USD
Clinical Medicine Insights: Arthritis and Musculoskeletal Disorders,,1179-5441,1848,USD
Clinical Medicine Insights: Blood Disorders,,1179-545X,1848,USD
Clinical Medicine Insights: Cardiology,,1179-5468,1200,USD
Clinical Medicine Insights: Case Reports,,1179-5476,1848,USD
"Clinical Medicine Insights: Circulatory, Respiratory and Pulmonary Medicine",,1179-5484,1500,USD
Clinical Medicine Insights: Endocrinology and Diabetes,,1179-5514,1500,USD
Clinical Medicine Insights: Gastroenterology,,1179-5522,2000,USD
Clinical Medicine Insights: Oncology,,1179-5549,2000,USD
Clinical Medicine Insights: Pathology,,1179-5557,1848,USD
Clinical Medicine Insights: Pediatrics,,1179-5565,1500,USD
Clinical Medicine Insights: Reproductive Health,,1179-5581,1500,USD
Rehabilitation Process and Outcome,,1179-5727,1500,USD
Journal of Central Nervous System Disease,,1179-5735,1500,USD
Biomedical Engineering and Computational Biology,,1179-5972,1848,USD
Advances in Medical Education and Practice,,1179-7258,1958,USD
Research and Reports in Tropical Medicine,,1179-7282,1780,USD
Substance Abuse and Rehabilitation,,1179-8467,1958,USD
Research Reports in Clinical Cardiology,,1179-8475,1780,USD
Blood and Lymphatic Cancer : Targets and Therapy,,1179-9889,1780,USD
"Pediatric Health, Medicine and Therapeutics",,1179-9927,1780,USD
Research and Reports in Neonatology,,1179-9935,1780,USD
Canadian Journal of Infectious Diseases,1180-2332,,1800,USD
Canadian Respiratory Journal,1198-2241,1916-7245,1800,USD
International Journal of Infectious Diseases,1201-9712,1878-3511,1750,USD
Pain Research and Management,1203-6765,1918-1523,2100,USD
Radioengineering,1210-2512,1805-9600,400,EUR
European Journal of Entomology,1210-5759,1802-8829,180,EUR
Czech Journal of Food Sciences,1212-1800,1805-9317,320,EUR
Czech Journal of Animal Science,1212-1819,1805-9309,320,EUR
Czech Journal of Genetics and Plant Breeding,1212-1975,1805-9325,320,EUR
Plant Protection Science,1212-2580,1805-9341,320,EUR
Kontakt,1212-4117,1804-7122,50,EUR
Biomedical Papers,1213-8118,1804-7521,12000,CZK
Journal of Applied Biomedicine,1214-021X,1214-0287,300,EUR
"Plant, Soil and Environment",1214-1178,1805-9368,320,EUR
Revista Medicală Română,1220-5478,2069-606X,880,RON
Annals of the University of Oradea: Economic Science,1222-569X,1582-5450,150,RON
"Ovidius University Annals, Series Physical Education and Sport/Science, Movement and Health",1224-7359,,40,EUR
한국해양공학회지,1225-0767,2287-6715,200,USD
대한환경공학회지,1225-5025,2383-7810,15000,KRW
Uisahak,1225-505X,2093-5609,100000,KRW
Seuteureseu Yeon-gu,1225-665X,2234-1668,300000,KRW
Adonghakoeji ,1226-1688,2234-408X,200000,KRW
The Korean Journal of Internal Medicine,1226-3303,2005-6648,500,USD
Experimental and Molecular Medicine,1226-3613,2092-6413,2690,GBP
Journal of Rhinology,1229-1498,2384-4361,66000,KRW
Mycobiology,1229-8093,2092-9323,1200,USD
Journal of Veterinary Science,1229-845X,1976-555X,300,USD
Archives of Civil Engineering,1230-2945,2300-3103,300,EUR
International Journal of Occupational Medicine and Environmental Health,1232-1087,1896-494X,650,EUR
Annals of Agricultural and Environmental Medicine,1232-1966,1898-2263,3000,PLN
Problemy Pielęgniarstwa,1233-9989,2299-8284,400,PLN
Acta Agrophysica,1234-4125,2300-6730,350,EUR
Parasite,1252-607X,1776-1042,900,EUR
Kafkas Universitesi Veteriner Fakultesi Dergisi,1300-6045,1309-2251,250,USD
Mathematical and Computational Applications,1300-686X,2297-8747,1400,CHF
Journal of Sports Science and Medicine,1303-2968,,1375,GBP
International Electronic Journal of Elementary Education,,1307-9298,350,USD
JCRPE,1308-5727,1308-5735,100,USD
Yüzüncü Yil Üniversitesi Tarim Bilimleri Dergisi,1308-7576,1308-7584,120,TRY
İşletme Araştırmaları Dergisi,1309-0712,,150,USD
Online Academic Journal of Information Technology,,1309-1581,500,TRY
Biotechnology & Biotechnological Equipment,1310-2818,1314-3530,1000,USD
Balkan Journal of Medical Genetics,1311-0160,,250,EUR
Екологично инженерство и опазване на околната среда,1311-8668,2367-8429,25,EUR
Journal of IMAB,,1312-773X,150,EUR
ZooKeys,1313-2989,1313-2970,700,EUR
Ecologia Balkanica,1314-0213,1313-9940,80,EUR
PhytoKeys,1314-2011,1314-2003,700,EUR
Biodiversity Data Journal,,1314-2828,450,EUR
MycoKeys,1314-4057,1314-4049,900,EUR
Nature Conservation,1314-6947,1314-3301,800,EUR
Saudi Pharmaceutical Journal,1319-0164,,1250,USD
Journal of Family and Community Medicine,1319-1683,2229-340X,200,USD
Saudi Journal of Biological Sciences,1319-562X,,1250,USD
Journal of Saudi Chemical Society,1319-6103,,1250,USD
Australian and New Zealand Journal of Public Health,1326-0200,1753-6405,1500,USD
Prostor,1330-0652,1333-9117,600,EUR
Tehnički Vjesnik,1330-3651,1848-6339,400,EUR
Ekonomska Istraživanja,1331-677X,1848-9664,750,EUR
Zbornik radova Ekonomskog fakulteta u Rijeci : časopis za ekonomsku teoriju i praksu,1331-8004,1846-7520,285,EUR
Measurement Science Review,,1335-8871,35,EUR
Civil and Environmental Engineering,1336-5835,2199-6512,60,EUR
Acta Logistica,,1339-5629,100,EUR
Slavonic Pedagogical Studies Journal,1339-8660,1339-9055,120,EUR
DNA Research,1340-2838,1756-1663,420,GBP
Genes & Genetic Systems,1341-7568,1880-5779,150000,JPY
Journal of Occupational Health,1341-9145,1348-9585,1500,USD
Environmental Health and Preventive Medicine,1342-078X,1347-4715,1370,GBP
"Earth, Planets and Space",1343-8832,1880-5981,1200,EUR
Plant Production Science,1343-943X,1349-1008,135000,JPY
Journal of Oleo Science,1345-8957,1347-3352,40000,JPY
The Journal of Poultry Science,1346-7395,1349-0486,60000,JPY
Journal of Asian Architecture and Building Engineering,,1347-2852,1200,USD
Annals of Business Administrative Science,1347-4464,1347-4456,150000,JPY
Journal of Pharmacological Sciences,1347-8613,,100000,JPY
e-Journal of Surface Science and Nanotechnology,,1348-0391,93,USD
Journal of Pesticide Science,1348-589X,1349-0923,50000,JPY
Tropical Medicine and Health,1348-8945,1349-4147,1765,GBP
SOLA,,1349-6476,100000,JPY
Cancer Science,,1349-7006,2250,USD
Ultrasonics Sonochemistry,1350-4177,1873-2828,2300,USD
Redox Report,1351-0002,1743-2928,1950,USD
Sarcoma,1357-714X,1369-1643,775,USD
EJC Supplements,1359-6349,1878-1217,3000,USD
Internet Archaeology,,1363-5387,900,GBP
Molecular Plant Pathology,,1364-3703,2340,USD
Critical Care,1364-8535,1466-609X,2390,GBP
New Journal of Physics,,1367-2630,1430,GBP
Health Expectations,1369-6513,1369-7625,1850,EUR
European Journal of General Practice,1381-4788,1751-1402,1000,EUR
Designed Monomers and Polymers,1385-772X,1568-5551,1155,GBP
Mathematical and Computer Modelling of Dynamical Systems,1387-3954,1744-5051,1500,USD
Pharmaceutical Biology,1388-0209,1744-5116,1950,USD
Electrochemistry Communications,1388-2481,1873-1902,2450,USD
Elektronika ir Elektrotechnika,1392-1215,2029-5731,70,EUR
Informacinės Technologijos ir Valdymas,1392-124X,2335-884X,500,EUR
Medžiagotyra,1392-1320,2029-7289,500,EUR
Journal of Civil Engineering and Management,1392-3730,1822-3605,480,EUR
Journal of Vibroengineering,1392-8716,2538-8460,750,EUR
Polibotánica,1405-2768,2395-9525,450,USD
Eesti Arheoloogiaajakiri,1406-2933,1736-7484,250,EUR
Agronomy Research,1406-894X,2228-4907,300,EUR
"Proceedings of the Latvian Academy of Sciences. Section B, Natural Sciences",1407-009X,,180,EUR
Identities,1409-9268,1857-8616,10,EUR
Agrin: Jurnal Penelitian Pertanian,1410-0029,2549-6786,300000,IDR
INSANIA: Jurnal Pemikiran Alternatif Kependidikan,1410-0053,2598-3091,500000,IDR
Journal of Dinamika Hukum,1410-0797,2407-6562,1750000,IDR
Jurnal Perlindungan Tanaman Indonesia,1410-1637,2548-4788,1000000,IDR
Jurnal Akuntansi dan Auditing Indonesia,1410-2420,2528-6528,2000000,IDR
Jurnal Teknologi & Industri Hasil Pertanian,1410-3044,2302-4399,1000000,IDR
Jurnal Manajemen,1410-3583,,1500000,IDR
Jurnal Akuntansi,1410-3591,2549-8800,1500000,IDR
Jurnal Biologi Udayana,1410-5292,,15,USD
Ta'dib,1410-6973,2443-2512,2000000,IDR
Jurnal Pariwisata Pesona,1410-7252,2541-5859,100000,IDR
Jurnal Ilmiah Ilmu-Ilmu Peternakan,1410-7791,2528-0805,300000,IDR
Humanus: Jurnal Ilmiah Ilmu-ilmu Humaniora,1410-8062,2528-3936,1000000,IDR
Jurnal Antropologi: Isu-Isu Sosial Budaya,1410-8356,2355-5963,250000,IDR
Jurnal Kelautan Tropis,1410-8852,2528-3111,500000,IDR
Jurnal Kimia Sains dan Aplikasi,1410-8917,2597-9914,700000,IDR
Jurnal Kajian Ilmiah,1410-9794,2597-792X,200000,IDR
Jurnal Pertanian Agros,1411-0172,2528-1488,500000,IDR
Wacana: Jurnal Sosial dan Humaniora,1411-0199,2338-1884,450000,IDR
Tsaqafah,1411-0334,2460-0008,100000000,IDR
Jurnal Teknik Sipil dan Perencanaan,1411-1772,2503-1899,500000,IDR
Animal Production,1411-2027,2541-5875,100,USD
Jurnal Manajemen Dayasaing,1411-3422,2541-254X,250000,IDR
Jurnal Agripet,1411-4623,2460-4534,300000,IDR
Harmonia: Jurnal Pengetahuan dan Pemikiran Seni,1411-5115,,50,USD
Jurnal Ilmu Dasar,1411-5735,2442-5613,500000,IDR
Jurnal Ekonomi Pembangunan: Kajian Masalah Ekonomi dan Pembangunan,1411-6081,2460-9331,1000000,IDR
Jurnal Hama dan Penyakit Tumbuhan Tropika,1411-7525,2461-0399,1600000,IDR
Ta'dib: Jurnal Pendidikan Islam,1411-8173,2528-5092,300000,IDR
Jurnal Ilmu Sosial,1411-8254,2548-4893,500000,IDR
Jurnal Veteriner,1411-8327,,38,USD
Jurnal Natural,1411-8513,2541-4062,50,USD
Indonesian Journal of Chemistry,1411-9420,2460-1578,2500000,IDR
Jurnal Ekonomi & Studi Pembangunan,1411-9900,2541-5506,100,USD
Tribakti: Jurnal Pemikiran Keislaman,1411-9919,2502-3047,150000,IDR
Biodiversitas,1412-033X,2085-4722,250,USD
Al-Ulum,1412-0534,2442-8213,1500000,IDR
Buletin Udayana Mengabdi,1412-0925,2654-9964,500000,IDR
Efisiensi,1412-1131,2528-5750,200000,IDR
Journal the Winners,1412-1212,2541-2388,1000000,IDR
Hisbah: Jurnal Bimbingan Konseling dan Dakwah Islam,1412-1743,2581-0618,500000,IDR
Nalars,1412-3266,2549-6832,50,USD
"Celt: A Journal of Culture, English Language Teaching & Literature",1412-3320,2502-4914,750000,IDR
Sains Tanah: Journal of Soil Science and Agroclimatology,1412-3606,2356-1424,55,USD
Jurnal Bisnis dan Manajemen,1412-3681,2442-4617,1500000,IDR
Jurnal Rekayasa Elektrika,1412-4785,2252-620X,1500000,IDR
Jurnal Ilmiah Agribisnis,1412-4807,2503-4375,200000,IDR
Jurnal Rekayasa Kimia & Lingkungan,1412-5064,2356-1661,1500000,IDR
Jurnal Akuakultur Indonesia,1412-5269,2354-6700,1500000,IDR
Jurnal Penelitian Pendidikan,1412-565X,,500000,IDR
Jurnal Matematika Integratif ,1412-6184,2549-9033,500000,IDR
Jurnal Ilmiah Teknik Industri,1412-6869,2460-4038,1000000,IDR
Al-Tahrir,1412-7512,2502-2210,750000,IDR
Jurnal Administrasi Pendidikan,1412-8152,2580-1007,650000,IDR
Konselor,1412-9760,2541-5948,350000,IDR
Ciência e Agrotecnologia,1413-7054,1981-1829,240,USD
Brazilian Journal of Infectious Diseases,1413-8670,1678-4391,1500,USD
Brazilian Journal of Veterinary Research and Animal Science,1413-9596,1678-4456,400,BRL
"Interface: Comunicação, Saúde, Educação",1414-3283,1807-5762,800,BRL
Engenharia na Agricultura,1414-3984,2175-6813,150,BRL
Escola Anna Nery ,1414-8145,2177-9465,250,BRL
Cogitare Enfermagem,1414-8536,2176-9133,600,BRL
REME: Revista Mineira de Enfermagem,1415-2762,2316-9389,880,BRL
Revista Brasileira de Engenharia Agrícola e Ambiental - Agriambi,1415-4366,1807-1929,180,BRL
Genetics and Molecular Biology,1415-4757,1678-4685,700,USD
Molecules,1420-3049,,2000,CHF
Kidney & Blood Pressure Research,1420-4096,1423-0143,1680,CHF
Molbank,1422-8599,,500,CHF
Diversity,1424-2818,,1800,CHF
Sensors,,1424-8220,2200,CHF
Pharmaceuticals,1424-8247,,1800,CHF
Neurosignals,1424-862X,1424-8638,1500,EUR
Cellular & Molecular Biology Letters,1425-8153,1689-1392,1690,GBP
Central European Journal of Immunology,1426-3912,1644-4124,150,EUR
New Medicine,1427-0994,1731-2507,200,PLN
Contemporary Oncology,1428-2526,1897-4309,200,EUR
Landform Analysis,1429-799X,2081-5980,100,EUR
Zeitschrift für Kristallographie - New Crystal Structures,1433-7266,2197-4578,500,EUR
Journal of Wood Science,1435-0211,1611-4663,980,GBP
Zoosystematics and Evolution,1435-1935,1860-0743,1000,EUR
Deutsche Entomologische Zeitschrift,1435-1951,1860-1324,1000,EUR
Helgoland Marine Research,1438-387X,1438-3888,1490,GBP
International Journal of Medical Microbiology,1438-4221,1618-0607,2200,USD
Journal of Medical Internet Research,,1438-8871,2950,USD
Berliner und Münchener Tierärztliche Wochenschrift,,1439-0299,950,EUR
Reproductive Medicine and Biology,1445-5781,1447-0578,1600,USD
International Journal of Medical Sciences,,1449-1907,2000,AUD
International Journal of Biological Sciences,,1449-2288,2000,AUD
Nuclear Technology and Radiation Protection,1451-3994,1452-8185,150,EUR
Istrazivanja i projektovanja za privredu,1451-4117,1821-3197,350,EUR
Sport Mont ,1451-7485,2337-0351,190,EUR
Chemical Industry and Chemical Engineering Quarterly,1451-9372,2217-7434,100,EUR
Sanamed,1452-662X,2217-8171,150,EUR
Journal of Medical Biochemistry,1452-8258,1452-8266,58000,RSD
Revista Romana de Pediatrie,1454-0398,2069-6175,990,RON
Revista Romana de Boli Infectioase,1454-3389,2069-6051,880,RON
"Discobolul: Physical Education, Sports and Kinetotherapy Journal",1454-3907,2286-3702,150,RON
Scientific Bulletin of Naval Academy,1454-864X,2392-8956,25,EUR
Annales Universitatis Apulensis. Series Economica,1454-9409,2344-4975,50,EUR
Management Intercultural,1454-9980,2285-9292,100,EUR
International Journal of Bioelectromagnetism,1456-7857,1456-7865,250,EUR
International Journal of Neuropsychopharmacology,1461-1457,1469-5111,1400,GBP
"Journal of Low Frequency Noise, Vibration and Active Control",1461-3484,2048-4046,1200,USD
Noise and Health,1463-1741,1998-4030,100,USD
Breast Cancer Research,1465-5411,1465-542X,2380,GBP
Respiratory Research,1465-9921,1465-993X,1990,GBP
De Jure ,1466-3597,2225-7160,2500,ZAR
Geochemical Transactions,,1467-4866,990,GBP
Plant Biotechnology Journal,,1467-7652,2720,USD
Current Controlled Trials in Cardiovascular Medicine,1468-6708,1468-6694,1370,GBP
Science and Technology of Advanced Materials,1468-6996,1878-5514,1200,USD
Geofluids,1468-8115,1468-8123,1700,USD
Epidemiology and Infection,,1469-4409,1925,GBP
Genetics Research,,1469-5073,1900,USD
